
11102,,,30-47,,,,29TH,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,592,,,,8,,

11102,,,30-49,,,,29TH,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,592,,,,7,,

11102,,,30-53,,,,29TH,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,SECTION610 OF PHFL,,,,,,,592,,,,5,,

11102,,,30-57,,,,29TH,,,,ST,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,592,,,,3,,

11102,,,30-60,,,,29TH,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,577,,,,56,,

11102,,,30-83,,,,29TH,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,590,,,,1,,

11102,,,30-92,,,,29TH,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,578,,,,1,,

11102,,,30-95,,,,29TH,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,590,,,,23,,

11102,,,26-01,,,,2ND,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,914,,,,114,,

11102,,,26-03,,,,2ND,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,914,,,,14,,

11102,,,26-05,,,,2ND,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,914,,,,113,,

11102,,,26-07,,,,2ND,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,914,,,,13,,

11102,,,26-27,,,,2ND,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,914,,,,5,,

11102,,,26-37,,,,2ND,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,914,,,,101,,

11102,,,26-41,,,,2ND,,,,ST,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,914,,,,1,,

11102,,,11-02 TO 45608,,,,30TH,,,,DR,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,504,,,,122,,

11102,,,11-28,,,,30TH,,,,DR,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,504,,,,121,,

11102,,,12-11,,,,30TH,,,,DR,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGB,,,,,,,,,,516,,,,20,,

11102,,,12-21,,,,30TH,,,,AVE,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,514,,,,14,,

11102,,,12-22 TO 45652,,,,30TH,,,,AVE,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,515,,,,31,,

11102,,,12-23,,,,30TH,,,,AVE,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,514,,,,10,,

11102,,,12-28,,,,30TH,,,,RD,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,516,,,,38,,

11102,,,14-16,,,,30TH,,,,RD,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,535,,,,32,,

11102,,,14-23,,,,30TH,,,,DR,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,535,,,,11,,

11102,,,14-27,,,,30TH,,,,DR,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,535,,,,9,,

11102,,,21-01 TO 21-05,,,,30TH,,,,DR,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,550,,,,10,,

11102,,,23-05,,,,30TH,,,,AVE,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,548,,,,1,,

11102,,,23-07,,,,30TH,,,,DR,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,571,,,,19,,

11102,,,23-10,,,,30TH,,,,AVE,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,572,,,,30,,

11102,,,23-12,,,,30TH,,,,DR,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,570,,,,30,,

11102,,,23-15,,,,30TH,,,,AVE,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,548,,,,5,,

11102,,,23-18,,,,30TH,,,,DR,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,570,,,,32,,

11102,,,23-20,,,,30TH,,,,DR,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,570,,,,33,,

11102,,,23-25,,,,30TH,,,,DR,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,571,,,,11,,

11102,,,23-29,,,,30TH,,,,DR,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,571,,,,10,,

11102,,,23-33,,,,30TH,,,,AVE,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,548,,,,13,,

11102,,,25-06,,,,30TH,,,,DR,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,NON-EVICT COOP/CONDO,,,,,,,578,,,,23,,

11102,,,25-10 TO 25-20,,,,30TH,,,,RD,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,577,,,,23,,

Source: 2023HCR BuildingRegistrationFile,,,,,,,,,,,,,,,,,https://rentguidelinesboard.cityofnewyork.us/resources/rent-stabilized-building-lists,,,,,,,,,,,,,,,,,,,,,,,,,,,Page11of 172,,,
,,,,,,,,,,,,,,,,,,,,,ListofQueens Buildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,STREET1,,,,STSUFX1,,,,BLDGNO2,,,,STREET2,,,,STSUFX2,,,COUNTY,,,CITY,,,,,STATUS1,,,STATUS2,,,,STATUS3,,,BLOCK,,,,LOT,,

11102,,,25-16,,,30TH,,,,DR,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,421-A (1-15),,,578,,,,26,,

11102,,,25-19,,,30TH,,,,DR,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,577,,,,5,,

11102,,,25-22,,,30TH,,,,DR,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,578,,,,27,,

11102,,,25-28,,,30TH,,,,DR,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,578,,,,31,,

11102,,,25-30,,,30TH,,,,RD,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,577,,,,36,,

11102,,,25-31,,,30TH,,,,RD,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,576,,,,5,,

11102,,,25-32,,,30TH,,,,DR,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,578,,,,35,,

11102,,,25-40,,,30TH,,,,RD,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,577,,,,40,,

11102,,,25-41,,,30TH,,,,RD,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,576,,,,1,,

11102,,,25-50,,,30TH,,,,RD,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,577,,,,43,,

11102,,,26-15,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,598,,,,28,,

11102,,,26-17,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,598,,,,27,,

11102,,,26-19,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,598,,,,26,,

11102,,,26-21,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,598,,,,25,,

11102,,,26-26,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,597,,,,110,,

11102,,,26-27,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,598,,,,23,,

11102,,,26-28,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,597,,,,111,,

11102,,,26-46,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,597,,,,118,,

11102,,,26-48,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,597,,,,119,,

11102,,,26-49,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,598,,,,14,,

11102,,,26-50,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,597,,,,120,,

11102,,,26-51,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,598,,,,13,,

11102,,,26-54,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,597,,,,121,,

11102,,,26-56,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,597,,,,122,,

11102,,,26-58,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,597,,,,223,,

11102,,,26-60,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,597,,,,124,,

11102,,,26-61,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,598,,,,9,,

11102,,,26-68,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,597,,,,127,,

11102,,,26-80,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,597,,,,1,,

11102,,,27-10,,,30TH,,,,AVE,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,576,,,,36,,

11102,,,28-16,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,594,,,,55,,

11102,,,28-18,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,594,,,,155,,

11102,,,30-13,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,593,,,,21,,

11102,,,30-30,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,592,,,,39,,

11102,,,30-34,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,592,,,,41,,

11102,,,30-37,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,593,,,,11,,

11102,,,30-38,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,592,,,,43,,

11102,,,30-46,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,592,,,,45,,

11102,,,30-50,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,592,,,,46,,

11102,,,30-56,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,592,,,,47,,

11102,,,30-74,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,590,,,,11,,

11102,,,30-76,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,590,,,,111,,

11102,,,30-83,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,591,,,,3,,

11102,,,30-88,,,30TH,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,590,,,,16,,

11102,,,32-14,,,30TH,,,,AVE,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,616,,,,7503,,

11102,,,24-01,,,31ST,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,837,,,,48,,

11102,,,24-08,,,31ST,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,840,,,,55,,

11102,,,25-31,,,31ST,,,,ST,,,,25-18,,,,32ND,,,,ST,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,620,,,,28,,

11102,,,25-34,,,31ST,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,598,,,,38,,

11102,,,25-40,,,31ST,,,,ST,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,598,,,,42,,

11102,,,25-71,,,31ST,,,,ST,,,,,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,620,,,,6,,

11102,,,25-72,,,31ST,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,598,,,,55,,

11102,,,25-79,,,31ST,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,620,,,,4,,

11102,,,28-04,,,31ST,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,598,,,,64,,

11102,,,30-35,,,31ST,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,615,,,,23,,

11102,,,30-37,,,31ST,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,615,,,,22,,

11102,,,30-79,,,31ST,,,,ST,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,615,,,,5,,

Source: 2023HCR BuildingRegistrationFile,,,,,,,,,,,,,,,,,https://rentguidelinesboard.cityofnewyork.us/resources/rent-stabilized-building-lists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page12of 172,,,
,,,,,,,,,,,,,,,,,,ListofQueens Buildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,STREET1,,,,STSUFX1,,,BLDGNO2,,,STREET2,,,STSUFX2,,COUNTY,,,CITY,,,,,STATUS1,,,STATUS2,,,,STATUS3,,,BLOCK,,,,LOT,,

11102,,,24-60,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,837,,,,13,,

11102,,,25-50,,,32ND,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,620,,,,39,,

11102,,,25-55,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,620,,,,54,,

11102,,,25-65,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,620,,,,49,,

11102,,,30-19,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,616,,,,30,,

11102,,,30-22,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,615,,,,45,,

11102,,,30-33,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,616,,,,24,,

11102,,,30-34,,,32ND,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,615,,,,50,,

11102,,,30-40,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,615,,,,52,,

11102,,,30-41,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,616,,,,21,,

11102,,,30-43,,,32ND,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,616,,,,20,,

11102,,,30-44,,,32ND,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,615,,,,53,,

11102,,,30-45,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (1-15),,,,,,,616,,,,19,,

11102,,,30-57,,,32ND,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,616,,,,15,,

11102,,,30-67,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,616,,,,11,,

11102,,,30-70,,,32ND,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,615,,,,64,,

11102,,,30-74,,,32ND,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,615,,,,66,,

11102,,,30-75,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,616,,,,8,,

11102,,,30-80,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,615,,,,67,,

11102,,,30-83,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGB,,,,,,,,,,616,,,,4,,

11102,,,30-85,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,616,,,,3,,

11102,,,30-86,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,615,,,,69,,

11102,,,30-91,,,32ND,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,616,,,,1,,

11102,,,3066,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,616,,,,61,,

11102,,,24-38,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,837,,,,143,,

11102,,,24-40,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,837,,,,144,,

11102,,,24-42,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,837,,,,145,,

11102,,,24-48,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,837,,,,151,,

11102,,,24-49,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,836,,,,6,,

11102,,,25-18,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGB,,,,,,,,,,620,,,,79,,

11102,,,25-37,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,14,,

11102,,,25-39,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,113,,

11102,,,25-41,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,13,,

11102,,,25-43,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,11,,

11102,,,25-45,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,110,,

11102,,,25-47,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,10,,

11102,,,25-51,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,9,,

11102,,,25-52,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGB,,,421-A (1-15),,,,,,,620,,,,194,,

11102,,,25-53,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,8,,

11102,,,25-57,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,6,,

11102,,,25-59,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGB,,,,,,,,,,631,,,,5,,

11102,,,25-60,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,620,,,,96,,

11102,,,25-63,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,4,,

11102,,,25-66,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGB,,,GARDENCOMPLEX,,,,J-51,,,620,,,,99,,

11102,,,25-67,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,3,,

11102,,,25-69,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,631,,,,1,,

11102,,,25-74,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,620,,,,51,,

11102,,,28-04,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGB,,,,,,,,,,619,,,,62,,

11102,,,28-05,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,627,,,,17,,

11102,,,28-15,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,627,,,,15,,

11102,,,28-19,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,627,,,,12,,

11102,,,28-21,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,627,,,,11,,

11102,,,28-25,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,627,,,,7,,

11102,,,28-26,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGA,,,,,,,,,,619,,,,69,,

11102,,,28-49,,,33RD,,,,ST,,,,,,,,,,,63,,,LONGISLAND CITY,,,,,MULTIPLE DWELLINGB,,,,,,,,,,627,,,,1,,

11102,,,30-06,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,616,,,,38,,

11102,,,30-14,,,33RD,,,,ST,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,616,,,,40,,

Source: 2023HCR BuildingRegistrationFile,,,,,,,,,,,,,,,https://rentguidelinesboard.cityofnewyork.us/resources/rent-stabilized-building-lists,,,,,,,,,,,,,,,,,,,,,,,,,,,Page13of 172,,,
,,,,,,,,,,,,,,,,,,,,,,,ListofQueens Buildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,,STREET1,,,,STSUFX1,,,,,BLDGNO2,,,,STREET2,,,,STSUFX2,,,COUNTY,,,CITY,,,,,STATUS1,,,STATUS2,,,,,STATUS3,,,BLOCK,,,,LOT,,

11102,,,30-15,,,,33RD,,,,ST,,,,,,,,,,,,,,,,63,,,ASTORIA,,,,,MULTIPLE DWELLINGA,,,,,,,,,,,625,,,,39,,

